NAME,DESIGNATION,DEPARTMENT,EMAIL ID,ROLL NO,PHONE NO,ETHICS RATING,ADDRESS
Jason Fox,STUDENT,CS,CS_0@iith.ac.in,CS_0,9023475009,4,
Gloria Wilkinson,STUDENT,CS,CS_1@iith.ac.in,CS_1,6419946742,1,
Paula Blevins,STUDENT,CS,CS_2@iith.ac.in,CS_2,6326529087,4,
Sarah Hernandez,STUDENT,CS,CS_3@iith.ac.in,CS_3,6134960052,3,
Ronald Miller,STUDENT,CS,CS_4@iith.ac.in,CS_4,8470000078,1,
Jeffrey Wolfe,STUDENT,CS,CS_5@iith.ac.in,CS_5,6871572307,2,
Kimberly Lambert,STUDENT,CS,CS_6@iith.ac.in,CS_6,8135599725,2,
Dakota Newman,STUDENT,CS,CS_7@iith.ac.in,CS_7,9602700366,5,
John Warren,STUDENT,CS,CS_8@iith.ac.in,CS_8,9544147873,4,
William Hartman,STUDENT,CS,CS_9@iith.ac.in,CS_9,7841115304,4,
Erica Pena DDS,STUDENT,CS,CS_10@iith.ac.in,CS_10,6304831403,3,
Deborah Ramirez,STUDENT,CS,CS_11@iith.ac.in,CS_11,6839387338,3,
Juan Perez,STUDENT,CS,CS_12@iith.ac.in,CS_12,8210920768,1,
Brian Robinson,STUDENT,CS,CS_13@iith.ac.in,CS_13,6183141540,1,
John Noble,STUDENT,CS,CS_14@iith.ac.in,CS_14,9688488709,1,
Cynthia Gray,STUDENT,CS,CS_15@iith.ac.in,CS_15,6153956188,1,
Rebecca Lara,STUDENT,CS,CS_16@iith.ac.in,CS_16,6278376899,1,
Stephanie Case,STUDENT,CS,CS_17@iith.ac.in,CS_17,6104783563,1,
Lisa Castillo,STUDENT,CS,CS_18@iith.ac.in,CS_18,8660750313,1,
Shelby Navarro,STUDENT,CS,CS_19@iith.ac.in,CS_19,6578987441,4,
Timothy Young,STUDENT,CS,CS_20@iith.ac.in,CS_20,6705325700,5,
Steve Bailey,STUDENT,CS,CS_21@iith.ac.in,CS_21,8055525552,5,
Anthony Francis,STUDENT,CS,CS_22@iith.ac.in,CS_22,6202098820,3,
Kyle Reid,STUDENT,CS,CS_23@iith.ac.in,CS_23,8601470179,2,
Gloria Miller,STUDENT,CS,CS_24@iith.ac.in,CS_24,9330356389,4,
Stephen Martin,STUDENT,CS,CS_25@iith.ac.in,CS_25,6492564587,2,
Rebecca Rose,STUDENT,CS,CS_26@iith.ac.in,CS_26,9084914991,5,
Ashley Sharp,STUDENT,CS,CS_27@iith.ac.in,CS_27,8156034051,2,
Edwin Small,STUDENT,CS,CS_28@iith.ac.in,CS_28,8451668746,1,
Connor Hernandez,STUDENT,CS,CS_29@iith.ac.in,CS_29,7941703928,4,
Stephen Lewis,STUDENT,CS,CS_30@iith.ac.in,CS_30,7630914886,5,
Kelly Coleman,STUDENT,CS,CS_31@iith.ac.in,CS_31,9735874997,3,
Shirley Prince,STUDENT,CS,CS_32@iith.ac.in,CS_32,8918116037,2,
Nicole Gentry,STUDENT,CS,CS_33@iith.ac.in,CS_33,6498520120,1,
Gabrielle Sanchez,STUDENT,CS,CS_34@iith.ac.in,CS_34,8524177280,3,
Shelby Aguilar,STUDENT,CS,CS_35@iith.ac.in,CS_35,6869720580,3,
Mark Franco,STUDENT,CS,CS_36@iith.ac.in,CS_36,9882112845,2,
Jennifer Stein,STUDENT,CS,CS_37@iith.ac.in,CS_37,9067722149,4,
Shane Peterson,STUDENT,CS,CS_38@iith.ac.in,CS_38,6105674618,3,
Brian West,STUDENT,CS,CS_39@iith.ac.in,CS_39,7966175967,1,
Elizabeth Griffith,STUDENT,CS,CS_40@iith.ac.in,CS_40,6638904819,2,
Jose Moore,STUDENT,CS,CS_41@iith.ac.in,CS_41,6951970467,5,
James Richmond,STUDENT,CS,CS_42@iith.ac.in,CS_42,7316975702,2,
Laurie Lopez,STUDENT,CS,CS_43@iith.ac.in,CS_43,8814610420,1,
Veronica Sanchez,STUDENT,CS,CS_44@iith.ac.in,CS_44,6765484498,5,
Susan Fisher,STUDENT,CS,CS_45@iith.ac.in,CS_45,6350299267,2,
Crystal Hill,STUDENT,CS,CS_46@iith.ac.in,CS_46,6314415827,5,
Christopher Snyder,STUDENT,CS,CS_47@iith.ac.in,CS_47,6480056402,4,
Mark Jenkins,STUDENT,CS,CS_48@iith.ac.in,CS_48,7355692397,1,
Amanda Williams,STUDENT,CS,CS_49@iith.ac.in,CS_49,7192893227,3,
Henry Rhodes,STUDENT,CS,CS_50@iith.ac.in,CS_50,6267336896,3,
Lauren Martinez MD,STUDENT,CS,CS_51@iith.ac.in,CS_51,6420293059,2,
Joshua Mcguire,STUDENT,CS,CS_52@iith.ac.in,CS_52,7072820976,3,
Charles Davis,STUDENT,CS,CS_53@iith.ac.in,CS_53,6697075697,5,
Michael Bennett,STUDENT,CS,CS_54@iith.ac.in,CS_54,8989481918,4,
Brooke Peters,STUDENT,CS,CS_55@iith.ac.in,CS_55,7231389400,4,
Mr. William Day,STUDENT,CS,CS_56@iith.ac.in,CS_56,6849864824,3,
Jason Goodwin,STUDENT,CS,CS_57@iith.ac.in,CS_57,8842089419,3,
Justin Fischer,STUDENT,CS,CS_58@iith.ac.in,CS_58,9889945186,1,
Allison Coleman,STUDENT,CS,CS_59@iith.ac.in,CS_59,8687784482,3,
Cory Henry,STUDENT,CS,CS_60@iith.ac.in,CS_60,6418547245,4,
Melissa Rangel,STUDENT,CS,CS_61@iith.ac.in,CS_61,6838674156,2,
Heather Garcia,STUDENT,CS,CS_62@iith.ac.in,CS_62,7611475441,1,
Andrew Shepard,STUDENT,CS,CS_63@iith.ac.in,CS_63,9320758066,4,
Jack Roberts,STUDENT,CS,CS_64@iith.ac.in,CS_64,7475689284,4,
Robert Owens DDS,STUDENT,CS,CS_65@iith.ac.in,CS_65,8879044469,2,
Robyn Montgomery,STUDENT,CS,CS_66@iith.ac.in,CS_66,7526699366,5,
Charles Young,STUDENT,CS,CS_67@iith.ac.in,CS_67,9033397245,5,
Dr. Jeremy Smith,STUDENT,CS,CS_68@iith.ac.in,CS_68,8477357526,3,
Melanie Bennett,STUDENT,CS,CS_69@iith.ac.in,CS_69,7287177601,2,
Jennifer Baker,STUDENT,CS,CS_70@iith.ac.in,CS_70,6365913470,1,
Joseph Brown,STUDENT,CS,CS_71@iith.ac.in,CS_71,7430441044,1,
Jay Bell,STUDENT,CS,CS_72@iith.ac.in,CS_72,9451148155,5,
Jennifer Price,STUDENT,CS,CS_73@iith.ac.in,CS_73,8243552949,2,
Mathew Hayes,STUDENT,CS,CS_74@iith.ac.in,CS_74,6126098656,5,
William Kaufman,STUDENT,CS,CS_75@iith.ac.in,CS_75,7368911110,4,
Bonnie Long,STUDENT,CS,CS_76@iith.ac.in,CS_76,8153868181,4,
Jacob Peterson,STUDENT,CS,CS_77@iith.ac.in,CS_77,8470068854,4,
Angela Wright,STUDENT,CS,CS_78@iith.ac.in,CS_78,7275004795,5,
Robert Smith,STUDENT,CS,CS_79@iith.ac.in,CS_79,9226266059,1,
Misty Griffith,STUDENT,CS,CS_80@iith.ac.in,CS_80,6654536982,1,
Jessica Cross,STUDENT,CS,CS_81@iith.ac.in,CS_81,7847586218,3,
Catherine Mcgee,STUDENT,CS,CS_82@iith.ac.in,CS_82,9286667928,3,
